Age,Gender,Location,Highest_qualification,Stream,Current_Academic_Level,Grade_CGPA_Percentage,Technical_Skills,Soft_Skills,Languages_Known,Certifications,Fields_of_Interest,Preferred_Work_Style,Work_Type_Interest,Past_Jobs_Internships,Achievements,Skills_Gained,Willing_to_Relocate,Suggested_Career_Path
27,Other,Chennai,12th,IT,Student,73.68,Node.js,"Creativity, Teamwork, Communication","Tamil, Hindi","AWS, Data Science",AI/ML,Field Work,Social,Freelance Project,Top Performer,Teamwork,No,AI Researcher
27,Male,Amalapuram,B.Tech,ECE,Student,66.5,"HTML/CSS, Node.js","Creativity, Communication, Teamwork","Kannada, Marathi","Machine Learning, GCP",Design,Remote,Creative,Freelance Project,Awarded Best Project,Leadership,No,UI/UX Designer
30,Other,Bangalore,M.Tech,Mechanical,Student,67.02,"Python, C++",Problem Solving,Marathi,"Python, Azure",Data Science,Hybrid,Analytical,Internship at XYZ,Awarded Best Project,Leadership,Yes,Data Scientist
24,Other,Hyderabad,10th,ECE,Working Professional,81.28,React,"Problem Solving, Teamwork","English, Kannada","GCP, Python",Marketing,Office,Creative,Internship at XYZ,Employee of the Month,Data Analysis,No,Digital Marketing Specialist
24,Male,Vizag,10th,BBA,Student,90.66,"Data Analysis, JavaScript, Python","Teamwork, Communication","Telugu, Tamil",,AI/ML,Field Work,Technical,Freelance Project,Hackathon Winner,Project Management,No,AI Researcher
18,Female,Mumbai,M.Tech,Commerce,Graduate,53.97,"Python, C++, SQL","Leadership, Time Management",English,,AI/ML,Remote,Social,None,Hackathon Winner,Project Management,No,Machine Learning Engineer
30,Other,Vizag,10th,Commerce,Working Professional,96.24,"React, Java","Leadership, Creativity","English, Hindi",,Marketing,Office,Social,None,Published Paper,Project Management,Yes,Marketing Executive
25,Other,Pune,M.Tech,BBA,Working Professional,62.66,"Data Analysis, C++, Python","Leadership, Communication, Creativity","Kannada, Telugu",,Data Science,Office,Social,Freelance Project,Awarded Best Project,Data Analysis,No,Data Analyst
30,Female,Bangalore,B.Tech,Mechanical,Working Professional,71.64,"HTML/CSS, Data Analysis","Creativity, Problem Solving",Telugu,Full Stack Development,Marketing,Remote,Analytical,Research Assistant,Top Performer,Programming,Yes,Marketing Executive
20,Other,Hyderabad,MCA,BBA,Graduate,53.72,"HTML/CSS, C++, Java","Problem Solving, Teamwork, Time Management",English,"Azure, AWS",Software Development,Hybrid,Analytical,Freelance Project,Hackathon Winner,Problem Solving,No,Full Stack Developer
24,Other,Amalapuram,M.Tech,EEE,Graduate,61.26,"C++, JavaScript, Java","Teamwork, Communication",Marathi,"Azure, GCP",AI/ML,Hybrid,Social,Research Assistant,Employee of the Month,Programming,No,Deep Learning Engineer
22,Female,Mumbai,M.Sc,IT,Working Professional,74.78,"C++, Node.js, Data Analysis",Time Management,Kannada,AWS,Cybersecurity,Office,Technical,None,Published Paper,Programming,No,Cybersecurity Analyst
27,Male,Amalapuram,12th,Mechanical,Graduate,55.91,"JavaScript, Data Analysis, Python","Time Management, Communication, Leadership",Kannada,Data Science,Marketing,Hybrid,Social,Startup Experience,Employee of the Month,Leadership,Yes,Marketing Executive
29,Male,Mumbai,B.Sc,EEE,Working Professional,63.08,"Java, React","Problem Solving, Creativity",Telugu,AWS,Cybersecurity,Remote,Technical,Startup Experience,Published Paper,Data Analysis,Yes,Cybersecurity Analyst
23,Female,Bangalore,10th,EEE,Working Professional,87.04,"HTML/CSS, Python, JavaScript","Leadership, Creativity","Kannada, Hindi","AWS, Data Science",Management,Field Work,Creative,Freelance Project,Published Paper,Data Analysis,No,Business Manager
27,Male,Vizag,M.Tech,Civil,Student,94.94,C++,Leadership,"Telugu, Kannada","Python, Data Science",Design,Field Work,Technical,Internship at XYZ,Hackathon Winner,Data Analysis,Yes,Graphic Designer
23,Male,Hyderabad,B.Tech,IT,Student,79.5,"Python, C++, Node.js",Time Management,"Marathi, Tamil","Python, Data Science",Data Science,Remote,Analytical,None,None,Programming,No,Data Scientist
25,Female,Pune,M.Tech,CSE,Student,56.4,C++,Creativity,English,,Data Science,Remote,Analytical,Freelance Project,Published Paper,Project Management,No,Data Scientist
27,Female,Amalapuram,MCA,Commerce,Student,50.4,JavaScript,Communication,Tamil,"Azure, AWS",Design,Remote,Creative,Startup Experience,Awarded Best Project,Problem Solving,No,UI/UX Designer
20,Female,Vizag,12th,Civil,Graduate,88.59,React,"Leadership, Problem Solving","Kannada, Telugu",,Cybersecurity,Remote,Social,Part-time Job,Hackathon Winner,Teamwork,Yes,Ethical Hacker
28,Male,Pune,10th,EEE,Student,73.65,Python,"Time Management, Creativity",Tamil,"AWS, GCP",Management,Hybrid,Technical,None,Published Paper,Programming,Yes,Business Manager
30,Female,Amalapuram,MBA,EEE,Graduate,87.22,"HTML/CSS, Node.js","Leadership, Time Management","Kannada, Hindi","Python, AWS",Management,Remote,Social,Freelance Project,Awarded Best Project,Teamwork,Yes,Project Manager
23,Other,Amalapuram,12th,CSE,Student,80.74,"HTML/CSS, Java, React","Leadership, Problem Solving","Hindi, Tamil",,Marketing,Office,Technical,Startup Experience,Published Paper,Teamwork,Yes,SEO Analyst
24,Other,Bangalore,MBA,BBA,Working Professional,65.69,"Python, Node.js, Java","Creativity, Teamwork, Communication","Kannada, Hindi",,Marketing,Field Work,Technical,Research Assistant,Awarded Best Project,Programming,No,Marketing Executive
27,Other,Delhi,12th,Commerce,Working Professional,51.05,"SQL, Node.js","Leadership, Problem Solving, Creativity","Tamil, Hindi",,Cybersecurity,Remote,Analytical,Freelance Project,Top Performer,Data Analysis,Yes,Cybersecurity Analyst
23,Male,Mumbai,M.Tech,ECE,Working Professional,86.37,SQL,"Time Management, Creativity, Communication","Hindi, Telugu","Data Science, Full Stack Development",Cybersecurity,Hybrid,Technical,Part-time Job,Awarded Best Project,Programming,No,Cybersecurity Analyst
19,Female,Chennai,M.Sc,EEE,Working Professional,56.28,"Java, React","Teamwork, Leadership, Communication","Hindi, Marathi",Azure,Cybersecurity,Field Work,Technical,Part-time Job,Awarded Best Project,Teamwork,Yes,Cybersecurity Analyst
20,Male,Mumbai,MBA,Mechanical,Working Professional,79.46,"Node.js, Data Analysis, Python","Teamwork, Problem Solving","Hindi, Kannada","Azure, AWS",Design,Field Work,Analytical,Part-time Job,Hackathon Winner,Problem Solving,Yes,UI/UX Designer
26,Female,Vizag,12th,Commerce,Student,95.3,"C++, Java, SQL",Communication,"Hindi, Kannada","Full Stack Development, Azure",Cybersecurity,Field Work,Creative,Part-time Job,Top Performer,Data Analysis,Yes,Ethical Hacker
19,Female,Bangalore,B.Tech,IT,Working Professional,76.18,React,"Time Management, Teamwork",Tamil,,Marketing,Remote,Analytical,Startup Experience,Published Paper,Teamwork,No,Marketing Executive
30,Female,Amalapuram,M.Tech,Mechanical,Graduate,88.41,React,"Teamwork, Communication, Problem Solving",Hindi,,Management,Office,Technical,Freelance Project,Employee of the Month,Leadership,Yes,Project Manager
27,Other,Chennai,M.Sc,CSE,Student,50.93,SQL,"Creativity, Communication, Teamwork",Kannada,,Software Development,Remote,Analytical,Part-time Job,Top Performer,Teamwork,No,Backend Developer
23,Other,Amalapuram,12th,Civil,Working Professional,91.59,"Java, Python","Problem Solving, Communication, Time Management",English,"Azure, AWS",Data Science,Office,Analytical,Internship at XYZ,Awarded Best Project,Problem Solving,Yes,Data Scientist
23,Female,Mumbai,M.Tech,CSE,Working Professional,52.02,"React, Python, C++","Time Management, Communication",Kannada,AWS,Design,Office,Social,Internship at XYZ,None,Data Analysis,Yes,UI/UX Designer
21,Female,Delhi,MCA,Civil,Graduate,55.65,"C++, HTML/CSS, SQL","Creativity, Teamwork",Marathi,GCP,Management,Office,Technical,Research Assistant,Published Paper,Programming,Yes,Operations Manager
24,Male,Vizag,10th,Civil,Working Professional,97.24,C++,"Communication, Problem Solving",Tamil,,Management,Hybrid,Social,Research Assistant,Awarded Best Project,Problem Solving,Yes,Project Manager
21,Female,Chennai,12th,EEE,Working Professional,80.21,"JavaScript, C++, Java",Creativity,"Hindi, Kannada",AWS,Marketing,Remote,Analytical,Internship at XYZ,Hackathon Winner,Project Management,No,Digital Marketing Specialist
26,Female,Delhi,MCA,Civil,Graduate,76.64,Python,"Leadership, Time Management","Tamil, English",,AI/ML,Remote,Analytical,Startup Experience,Published Paper,Problem Solving,No,Machine Learning Engineer
29,Female,Amalapuram,12th,Civil,Graduate,86.26,Java,"Creativity, Teamwork","Marathi, Kannada",AWS,Management,Field Work,Analytical,Part-time Job,Top Performer,Project Management,Yes,Project Manager
21,Male,Amalapuram,10th,EEE,Student,85.41,"Node.js, SQL","Leadership, Communication",Hindi,"Full Stack Development, Azure",AI/ML,Hybrid,Creative,Freelance Project,None,Leadership,No,AI Researcher
22,Male,Vizag,M.Tech,CSE,Graduate,79.5,"Python, Data Analysis, JavaScript","Time Management, Problem Solving, Communication",Hindi,"Machine Learning, Data Science",Management,Field Work,Creative,Freelance Project,Employee of the Month,Programming,No,Business Manager
24,Male,Amalapuram,B.Sc,Civil,Graduate,65.86,C++,"Leadership, Problem Solving, Time Management",Hindi,,Management,Remote,Creative,None,Awarded Best Project,Teamwork,No,Project Manager
30,Other,Pune,M.Tech,IT,Graduate,95.86,"React, JavaScript","Communication, Creativity, Time Management",Kannada,Python,Cybersecurity,Office,Creative,Freelance Project,None,Programming,Yes,Cybersecurity Analyst
20,Female,Bangalore,M.Tech,Commerce,Graduate,61.58,Node.js,"Problem Solving, Teamwork, Leadership","Telugu, Kannada","Data Science, AWS",Cybersecurity,Field Work,Analytical,Freelance Project,Awarded Best Project,Leadership,No,Security Engineer
24,Male,Hyderabad,B.Sc,EEE,Working Professional,91.84,"C++, JavaScript","Problem Solving, Teamwork","Kannada, Tamil","Data Science, Full Stack Development",Data Science,Office,Social,Part-time Job,Hackathon Winner,Leadership,Yes,Data Scientist
20,Male,Amalapuram,MCA,Civil,Working Professional,86.73,"Java, C++, React","Time Management, Leadership, Creativity","Tamil, English",,Software Development,Remote,Social,Part-time Job,Hackathon Winner,Project Management,No,Backend Developer
21,Male,Mumbai,12th,IT,Graduate,63.07,"JavaScript, Java","Leadership, Creativity",Tamil,,AI/ML,Office,Creative,Startup Experience,None,Problem Solving,No,AI Researcher
30,Other,Chennai,12th,CSE,Working Professional,96.26,"JavaScript, Python","Creativity, Leadership",Marathi,"AWS, Machine Learning",AI/ML,Office,Analytical,Internship at XYZ,Employee of the Month,Project Management,No,Deep Learning Engineer
23,Other,Pune,B.Tech,EEE,Student,89.49,"JavaScript, Java, HTML/CSS","Communication, Creativity",Marathi,"Machine Learning, Azure",Data Science,Remote,Social,Internship at XYZ,Top Performer,Teamwork,Yes,Business Analyst
27,Other,Delhi,12th,ECE,Student,71.17,"JavaScript, React","Creativity, Problem Solving, Leadership","Marathi, English","Data Science, GCP",Data Science,Field Work,Analytical,Research Assistant,Awarded Best Project,Teamwork,No,Business Analyst
28,Male,Amalapuram,10th,Mechanical,Student,79.84,"HTML/CSS, C++, Java","Teamwork, Leadership","Kannada, Telugu","Full Stack Development, Machine Learning",Cybersecurity,Remote,Technical,Part-time Job,Published Paper,Leadership,Yes,Security Engineer
18,Other,Mumbai,12th,IT,Working Professional,57.87,"HTML/CSS, Node.js, Java","Creativity, Time Management","Tamil, Hindi","AWS, Python",Management,Office,Technical,Research Assistant,Awarded Best Project,Programming,Yes,Business Manager
20,Other,Mumbai,MBA,IT,Graduate,86.66,React,"Leadership, Teamwork",Hindi,Machine Learning,Data Science,Hybrid,Analytical,Part-time Job,Published Paper,Leadership,Yes,Data Analyst
30,Male,Pune,MBA,CSE,Graduate,76.67,Data Analysis,"Leadership, Teamwork, Communication",Hindi,Machine Learning,Cybersecurity,Remote,Creative,None,Published Paper,Problem Solving,No,Cybersecurity Analyst
28,Other,Chennai,B.Tech,ECE,Student,76.52,JavaScript,"Teamwork, Creativity","English, Telugu",,Software Development,Office,Analytical,Freelance Project,None,Teamwork,No,Full Stack Developer
18,Other,Vizag,B.Tech,CSE,Student,54.43,"Java, SQL",Leadership,"Tamil, Kannada","GCP, Data Science",Marketing,Hybrid,Social,Research Assistant,Hackathon Winner,Teamwork,No,Digital Marketing Specialist
24,Other,Amalapuram,10th,IT,Student,51.33,"Data Analysis, Java","Teamwork, Creativity, Leadership","Kannada, Telugu",,Design,Field Work,Analytical,Research Assistant,None,Teamwork,No,UI/UX Designer
30,Male,Pune,MBA,CSE,Working Professional,75.92,"Python, Node.js",Creativity,English,Full Stack Development,Software Development,Field Work,Social,Part-time Job,Employee of the Month,Problem Solving,No,Backend Developer
20,Male,Hyderabad,M.Tech,Commerce,Student,76.7,Java,"Teamwork, Communication",English,,Design,Remote,Creative,None,None,Problem Solving,Yes,Graphic Designer
22,Female,Bangalore,B.Sc,ECE,Working Professional,50.33,"Java, C++","Communication, Leadership, Time Management","Tamil, English",,Cybersecurity,Hybrid,Social,Freelance Project,Awarded Best Project,Problem Solving,No,Security Engineer
19,Female,Bangalore,M.Sc,IT,Student,56.68,Java,"Teamwork, Time Management","Hindi, English",,AI/ML,Field Work,Creative,Research Assistant,Employee of the Month,Data Analysis,No,Deep Learning Engineer
19,Male,Bangalore,10th,Mechanical,Graduate,98.72,"HTML/CSS, React",Problem Solving,Hindi,AWS,AI/ML,Office,Social,Internship at XYZ,Awarded Best Project,Problem Solving,No,AI Researcher
18,Male,Delhi,10th,EEE,Student,83.4,Python,"Problem Solving, Communication",Telugu,Data Science,AI/ML,Remote,Creative,Internship at XYZ,None,Programming,Yes,Deep Learning Engineer
21,Male,Hyderabad,MBA,Commerce,Working Professional,58.44,"HTML/CSS, Node.js","Communication, Problem Solving","Kannada, English",,Marketing,Office,Analytical,Startup Experience,Employee of the Month,Problem Solving,No,SEO Analyst
23,Other,Mumbai,MCA,ECE,Student,95.59,"C++, React, Java",Time Management,"English, Marathi",,AI/ML,Field Work,Technical,Research Assistant,Published Paper,Leadership,No,Machine Learning Engineer
21,Other,Mumbai,MCA,IT,Student,95.62,"C++, Node.js, JavaScript","Leadership, Teamwork, Creativity",English,"Python, Full Stack Development",Management,Remote,Creative,Internship at XYZ,Employee of the Month,Programming,No,Operations Manager
18,Other,Hyderabad,MBA,Commerce,Student,79.78,"Python, SQL, JavaScript","Problem Solving, Leadership, Creativity","Hindi, Marathi",AWS,AI/ML,Hybrid,Creative,Internship at XYZ,Awarded Best Project,Project Management,Yes,Machine Learning Engineer
20,Other,Amalapuram,MBA,IT,Student,99.31,"Java, React",Leadership,"English, Tamil",,Design,Hybrid,Social,Startup Experience,Published Paper,Project Management,No,Product Designer
21,Female,Amalapuram,M.Sc,EEE,Working Professional,64.25,Node.js,"Leadership, Creativity, Time Management",Telugu,"Full Stack Development, Data Science",Management,Hybrid,Analytical,Part-time Job,Hackathon Winner,Leadership,Yes,Project Manager
18,Female,Vizag,10th,Commerce,Working Professional,93.07,"Python, C++, React","Problem Solving, Communication","Marathi, Telugu","Machine Learning, Python",Software Development,Field Work,Technical,Startup Experience,None,Programming,No,Software Engineer
20,Other,Delhi,12th,Civil,Working Professional,85.87,"Data Analysis, JavaScript, HTML/CSS","Time Management, Leadership","Marathi, Kannada",GCP,Marketing,Remote,Creative,Part-time Job,Employee of the Month,Programming,No,Digital Marketing Specialist
29,Other,Chennai,10th,IT,Graduate,68.45,"Data Analysis, Node.js, C++","Leadership, Time Management","English, Telugu",,Data Science,Hybrid,Technical,None,Employee of the Month,Leadership,No,Data Scientist
27,Female,Chennai,M.Tech,Civil,Working Professional,75.11,HTML/CSS,"Time Management, Teamwork","Tamil, English",Data Science,Software Development,Remote,Analytical,None,None,Programming,Yes,Full Stack Developer
30,Female,Bangalore,12th,Civil,Working Professional,72.98,"Python, Data Analysis, SQL",Creativity,Kannada,"Data Science, Full Stack Development",Cybersecurity,Office,Analytical,Internship at XYZ,None,Leadership,Yes,Ethical Hacker
21,Male,Vizag,12th,ECE,Working Professional,54.74,"JavaScript, Data Analysis, Python",Communication,Marathi,"AWS, Azure",AI/ML,Office,Analytical,Part-time Job,None,Project Management,No,Machine Learning Engineer
21,Female,Vizag,MCA,Mechanical,Graduate,76.29,JavaScript,Leadership,Tamil,"Azure, Full Stack Development",Cybersecurity,Hybrid,Technical,Internship at XYZ,Top Performer,Leadership,Yes,Ethical Hacker
19,Other,Pune,M.Sc,Civil,Working Professional,76.59,SQL,Leadership,"Telugu, Kannada",Full Stack Development,Data Science,Office,Creative,None,None,Teamwork,No,Data Analyst
26,Male,Pune,10th,BBA,Working Professional,54.21,Java,Communication,"Hindi, English",Azure,AI/ML,Remote,Creative,Startup Experience,Published Paper,Problem Solving,Yes,AI Researcher
19,Other,Hyderabad,12th,IT,Graduate,60.25,"Python, React",Communication,"Hindi, Marathi",Data Science,Data Science,Field Work,Social,Freelance Project,Awarded Best Project,Problem Solving,No,Data Analyst
23,Male,Bangalore,10th,CSE,Student,58.33,Data Analysis,Time Management,Hindi,"GCP, Machine Learning",Cybersecurity,Office,Technical,Part-time Job,Top Performer,Teamwork,Yes,Security Engineer
30,Male,Pune,M.Sc,BBA,Graduate,90.2,"JavaScript, Data Analysis","Creativity, Time Management",Tamil,"AWS, GCP",Design,Office,Technical,Internship at XYZ,Top Performer,Project Management,Yes,UI/UX Designer
28,Female,Mumbai,10th,CSE,Graduate,53.26,Python,"Problem Solving, Leadership, Time Management","Hindi, Telugu",,Management,Remote,Technical,Part-time Job,Published Paper,Project Management,No,Project Manager
28,Male,Delhi,12th,EEE,Student,64.13,Data Analysis,Creativity,Marathi,,AI/ML,Remote,Technical,Research Assistant,Awarded Best Project,Teamwork,Yes,Deep Learning Engineer
27,Male,Chennai,12th,Mechanical,Student,81.36,Python,Creativity,Kannada,,Marketing,Remote,Analytical,None,Awarded Best Project,Project Management,No,Digital Marketing Specialist
25,Male,Pune,B.Tech,ECE,Graduate,88.0,C++,Leadership,"Marathi, Hindi","Data Science, AWS",Management,Hybrid,Technical,None,Published Paper,Problem Solving,Yes,Business Manager
30,Other,Mumbai,10th,BBA,Graduate,57.29,"Python, Data Analysis, Java",Communication,"English, Telugu",Machine Learning,AI/ML,Field Work,Social,Startup Experience,Hackathon Winner,Data Analysis,No,Deep Learning Engineer
29,Female,Mumbai,M.Sc,EEE,Graduate,81.85,"C++, Data Analysis, SQL",Time Management,Kannada,"Azure, AWS",Marketing,Remote,Creative,Part-time Job,None,Data Analysis,No,Marketing Executive
18,Female,Bangalore,M.Tech,CSE,Working Professional,96.0,"JavaScript, Python, Java",Creativity,Tamil,,Cybersecurity,Office,Social,Freelance Project,Top Performer,Programming,Yes,Security Engineer
29,Male,Chennai,MBA,Mechanical,Working Professional,50.25,"Java, Python, Node.js","Time Management, Teamwork, Communication",English,"AWS, Python",Data Science,Hybrid,Analytical,Part-time Job,Published Paper,Problem Solving,Yes,Data Analyst
24,Female,Pune,MCA,Civil,Student,63.84,"SQL, JavaScript, React",Problem Solving,Tamil,"Azure, Python",Cybersecurity,Remote,Technical,Internship at XYZ,Published Paper,Teamwork,No,Cybersecurity Analyst
18,Male,Vizag,MCA,BBA,Working Professional,59.23,HTML/CSS,"Time Management, Problem Solving","Marathi, English",GCP,AI/ML,Office,Social,None,Published Paper,Programming,Yes,Machine Learning Engineer
29,Other,Hyderabad,M.Tech,BBA,Graduate,50.37,"Data Analysis, HTML/CSS, C++","Leadership, Problem Solving",Hindi,"Full Stack Development, Python",AI/ML,Hybrid,Analytical,Research Assistant,Top Performer,Problem Solving,No,AI Researcher
21,Male,Vizag,10th,Commerce,Working Professional,63.92,"Node.js, JavaScript","Teamwork, Creativity, Communication","Marathi, English",Python,AI/ML,Field Work,Analytical,Research Assistant,Published Paper,Problem Solving,No,AI Researcher
30,Other,Mumbai,MBA,ECE,Graduate,97.94,JavaScript,Creativity,"Telugu, Hindi",,Cybersecurity,Field Work,Creative,Internship at XYZ,Top Performer,Data Analysis,Yes,Ethical Hacker
19,Female,Hyderabad,MCA,Civil,Graduate,88.33,"HTML/CSS, SQL","Time Management, Leadership, Communication","Marathi, Hindi","Full Stack Development, Azure",Marketing,Remote,Social,None,Awarded Best Project,Leadership,Yes,Digital Marketing Specialist
20,Other,Hyderabad,B.Tech,BBA,Graduate,87.95,"JavaScript, HTML/CSS, Node.js","Creativity, Communication, Leadership",Marathi,Azure,Marketing,Remote,Social,Research Assistant,Published Paper,Teamwork,No,Digital Marketing Specialist
18,Other,Delhi,M.Tech,ECE,Student,83.99,"SQL, C++","Communication, Creativity, Teamwork",Marathi,Python,Design,Field Work,Technical,Freelance Project,Hackathon Winner,Leadership,Yes,Product Designer
19,Female,Delhi,MBA,IT,Working Professional,56.01,"SQL, HTML/CSS, Node.js","Creativity, Teamwork",Hindi,,AI/ML,Remote,Social,Research Assistant,Hackathon Winner,Problem Solving,Yes,Machine Learning Engineer
19,Other,Chennai,B.Tech,ECE,Student,59.58,HTML/CSS,"Creativity, Communication","Hindi, Telugu",Data Science,Marketing,Field Work,Technical,Internship at XYZ,Hackathon Winner,Programming,Yes,Digital Marketing Specialist
25,Other,Amalapuram,M.Sc,BBA,Graduate,73.53,"JavaScript, Node.js, C++",Leadership,"Hindi, Telugu",,Software Development,Hybrid,Creative,None,None,Leadership,No,Frontend Developer
20,Other,Chennai,M.Tech,EEE,Student,73.83,"C++, SQL","Problem Solving, Time Management, Leadership","Hindi, English","GCP, Full Stack Development",Management,Office,Analytical,Part-time Job,Awarded Best Project,Leadership,Yes,Business Manager
18,Other,Amalapuram,M.Tech,Civil,Student,95.02,"SQL, HTML/CSS",Teamwork,Hindi,"Azure, Python",AI/ML,Field Work,Technical,None,Awarded Best Project,Teamwork,No,Machine Learning Engineer
22,Male,Bangalore,B.Sc,Civil,Student,69.86,"JavaScript, Data Analysis",Leadership,"Marathi, Kannada",,Marketing,Field Work,Analytical,Research Assistant,Published Paper,Leadership,No,Digital Marketing Specialist
26,Other,Bangalore,B.Tech,BBA,Student,80.22,C++,"Time Management, Problem Solving",English,Data Science,Cybersecurity,Field Work,Creative,Part-time Job,Employee of the Month,Teamwork,No,Security Engineer
25,Other,Chennai,10th,IT,Working Professional,85.63,"C++, Node.js","Leadership, Teamwork, Time Management","Kannada, Hindi",Machine Learning,Design,Hybrid,Social,Freelance Project,Awarded Best Project,Project Management,No,Product Designer
18,Female,Mumbai,M.Tech,IT,Working Professional,92.85,Java,"Leadership, Time Management","Telugu, Marathi",,AI/ML,Office,Creative,Internship at XYZ,Published Paper,Data Analysis,Yes,Deep Learning Engineer
26,Other,Vizag,MCA,Mechanical,Student,79.77,Java,"Teamwork, Time Management, Leadership",Marathi,,Cybersecurity,Office,Technical,Internship at XYZ,None,Problem Solving,No,Security Engineer
20,Other,Pune,MCA,CSE,Graduate,54.9,HTML/CSS,"Problem Solving, Teamwork, Communication",Telugu,"Machine Learning, AWS",Marketing,Office,Analytical,None,None,Teamwork,Yes,SEO Analyst
25,Male,Hyderabad,M.Tech,Mechanical,Graduate,71.56,C++,"Communication, Creativity",Tamil,AWS,Cybersecurity,Office,Analytical,None,Hackathon Winner,Project Management,Yes,Ethical Hacker
29,Other,Delhi,10th,BBA,Graduate,98.93,"Java, Python","Time Management, Problem Solving","Kannada, Marathi",Machine Learning,Design,Office,Creative,Part-time Job,Hackathon Winner,Teamwork,Yes,Graphic Designer
19,Female,Amalapuram,M.Sc,Commerce,Graduate,69.83,HTML/CSS,Communication,Kannada,,Marketing,Field Work,Social,Part-time Job,Top Performer,Project Management,No,Marketing Executive
30,Other,Delhi,10th,Commerce,Working Professional,78.4,Python,"Creativity, Teamwork, Communication",Tamil,GCP,AI/ML,Office,Technical,None,Awarded Best Project,Leadership,Yes,AI Researcher
27,Female,Mumbai,12th,ECE,Student,51.52,"C++, HTML/CSS, Python",Communication,Telugu,,Data Science,Remote,Creative,None,Awarded Best Project,Project Management,Yes,Data Scientist
19,Male,Delhi,M.Sc,Commerce,Working Professional,54.91,C++,Creativity,"English, Hindi",Machine Learning,Software Development,Office,Technical,Internship at XYZ,Hackathon Winner,Programming,No,Frontend Developer
26,Other,Vizag,M.Sc,BBA,Graduate,72.6,Node.js,"Leadership, Teamwork",Kannada,,AI/ML,Hybrid,Creative,Research Assistant,Top Performer,Data Analysis,No,Deep Learning Engineer
18,Female,Mumbai,B.Sc,Mechanical,Working Professional,86.39,"React, SQL","Time Management, Leadership, Creativity",Hindi,Azure,Management,Office,Technical,Part-time Job,Awarded Best Project,Programming,No,Operations Manager
20,Other,Amalapuram,B.Tech,IT,Graduate,88.17,"HTML/CSS, Python","Leadership, Communication, Teamwork",Hindi,Data Science,Marketing,Remote,Technical,Startup Experience,None,Teamwork,No,Digital Marketing Specialist
27,Male,Hyderabad,12th,EEE,Student,92.47,Node.js,"Communication, Problem Solving","English, Kannada","AWS, Python",AI/ML,Remote,Creative,Research Assistant,Employee of the Month,Teamwork,No,Deep Learning Engineer
30,Other,Pune,B.Sc,Mechanical,Graduate,75.73,JavaScript,Teamwork,"Telugu, Hindi","Data Science, Python",Design,Remote,Creative,Freelance Project,Awarded Best Project,Project Management,Yes,Product Designer
26,Male,Amalapuram,10th,Mechanical,Graduate,78.7,"Node.js, JavaScript","Leadership, Communication, Creativity",Telugu,,Design,Remote,Social,Startup Experience,Hackathon Winner,Programming,No,Product Designer
23,Other,Hyderabad,MBA,EEE,Working Professional,68.78,SQL,"Communication, Time Management, Creativity",English,,Software Development,Remote,Analytical,None,Top Performer,Project Management,Yes,Frontend Developer
24,Female,Vizag,12th,Mechanical,Student,75.66,"React, JavaScript, HTML/CSS","Leadership, Teamwork, Problem Solving",English,Python,Data Science,Field Work,Creative,Startup Experience,None,Project Management,Yes,Business Analyst
18,Male,Delhi,12th,Civil,Student,97.28,"Data Analysis, Node.js, SQL","Communication, Time Management","Tamil, English","Machine Learning, Azure",Design,Hybrid,Social,None,Hackathon Winner,Problem Solving,No,Graphic Designer
26,Male,Hyderabad,10th,Mechanical,Working Professional,61.62,Data Analysis,"Time Management, Leadership, Creativity","Kannada, English",Azure,Cybersecurity,Field Work,Analytical,None,Employee of the Month,Data Analysis,Yes,Cybersecurity Analyst
23,Female,Chennai,MCA,Mechanical,Student,54.84,"Python, React","Time Management, Teamwork","Tamil, English","Machine Learning, Data Science",Marketing,Office,Creative,Part-time Job,None,Problem Solving,No,SEO Analyst
20,Male,Amalapuram,B.Sc,Commerce,Student,60.78,JavaScript,"Communication, Leadership, Time Management","Tamil, Hindi",Full Stack Development,Data Science,Field Work,Technical,Startup Experience,Employee of the Month,Data Analysis,No,Data Analyst
24,Male,Chennai,10th,CSE,Working Professional,82.29,"Java, JavaScript, SQL",Teamwork,"Tamil, Telugu",,Marketing,Office,Technical,None,Awarded Best Project,Teamwork,Yes,Marketing Executive
20,Female,Amalapuram,B.Sc,EEE,Student,99.14,Java,Teamwork,Tamil,,Software Development,Hybrid,Social,Research Assistant,None,Problem Solving,Yes,Frontend Developer
29,Other,Chennai,MBA,Commerce,Graduate,69.81,Java,"Problem Solving, Leadership",English,"AWS, Data Science",Software Development,Remote,Social,None,Employee of the Month,Leadership,No,Backend Developer
23,Female,Hyderabad,12th,Mechanical,Graduate,61.17,React,"Time Management, Leadership, Communication",Hindi,"Data Science, GCP",AI/ML,Remote,Technical,None,Awarded Best Project,Problem Solving,No,AI Researcher
30,Other,Chennai,12th,Commerce,Student,69.3,"Python, JavaScript, Data Analysis",Creativity,Hindi,Data Science,Cybersecurity,Remote,Technical,Startup Experience,None,Teamwork,Yes,Cybersecurity Analyst
20,Other,Bangalore,10th,CSE,Graduate,58.17,Java,"Teamwork, Creativity, Time Management",English,,Marketing,Office,Analytical,None,None,Programming,Yes,SEO Analyst
